Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q000154,What is the value of \(f(g(2))\) when \(f(x)=2x^2-4\) and \(g(x)=1-x\)?,\(4\),\(3\),\(0\),\(-2\),D,D,6,3,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(2)) when f(x) = (2x^2) - 4 and g(x) = 1 - x?,4,3,0,-2
Q000155,What is the value of \(f(g(3))\) when \(f(x)=3x^2-6\) and \(g(x)=2-x\)?,\(6\),\(3\),\(0\),\(-3\),D,D,6,3,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(3)) when f(x) = (3x^2) - 6 and g(x) = 2 - x?,6,3,0,-3
Q000156,What is the value of \(f(g(4))\) when \(f(x)=4x^2-8\) and \(g(x)=3-x\)?,\(8\),\(4\),\(0\),\(-4\),D,D,6,3,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(4)) when f(x) = (4x^2) - 8 and g(x) = 3 - x?,8,4,0,-4
Q000157,What is the value of \(f(g(5))\) when \(f(x)=5x^2-10\) and \(g(x)=4-x\)?,\(10\),\(5\),\(0\),\(-5\),D,D,6,3,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(5)) when f(x) = (5x^2) - 10 and g(x) = 4 - x?,10,5,0,-5
Q000158,What is the value of \(f(g(6))\) when \(f(x)=6x^2-12\) and \(g(x)=5-x\)?,\(12\),\(6\),\(0\),\(-6\),D,D,6,3,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(6)) when f(x) = (6x^2) - 12 and g(x) = 5 - x?,12,6,0,-6
Q000159,\(f(x)=3x+5\) and \(g(x)=2x-1\) define functions on the set of real numbers. What is the value of \(f(g(4))\)?,\(22\),\(26\),\(24\),\(25\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 3x + 5 and g(x) = 2x - 1 define functions on the set of real numbers. What is the value of f(g(4))?,22,26,24,25
Q000160,\(f(x)=5x-2\) and \(g(x)=x+3\) define functions on the set of real numbers. What is the value of \(f(g(-3))\)?,\(-2\),\(-10\),\(-12\),\(-14\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 5x - 2 and g(x) = x + 3 define functions on the set of real numbers. What is the value of f(g(-3))?,-2,-10,-12,-14
Q000161,\(f(x)=2x^2-4\) and \(g(x)=\frac{x}{2}\) define functions on the set of real numbers. What is the value of \(f(g(10))\)?,\(196\),\(248\),\(302\),\(46\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x^2 - 4 and g(x) = x/2 define functions on the set of real numbers. What is the value of f(g(10))?,196,248,302,46
Q000162,\(f(x)=3x-1\) and \(g(x)=x^2-1\) define functions on the set of real numbers. What is the value of \(f(g(2))\)?,\(11\),\(16\),\(8\),\(23\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 3x - 1 and g(x) = x^2 - 1 define functions on the set of real numbers. What is the value of f(g(2))?,11,16,8,23
Q000163,\(f(x)=4x-3\) and \(g(x)=2x+1\) define functions on the set of real numbers. What is the value of \(f(g(5))\)?,\(33\),\(37\),\(39\),\(41\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 4x - 3 and g(x) = 2x + 1 define functions on the set of real numbers. What is the value of f(g(5))?,33,37,39,41
Q000164,\(f(x)=3x^2+2\) and \(g(x)=2x-1\) define functions on the set of real numbers. What is the value of \(f(g(5))\)?,\(86\),\(94\),\(245\),\(110\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 3x^2 + 2 and g(x) = 2x - 1 define functions on the set of real numbers. What is the value of f(g(5))?,86,94,245,110
Q000165,\(f(x)=x^2+3x-5\) and \(g(x)=2x-1\) define functions on the set of real numbers. What is the value of \(f(g(3))\)?,\(35\),\(37\),\(39\),\(41\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = x^2 + 3x - 5 and g(x) = 2x - 1 define functions on the set of real numbers. What is the value of f(g(3))?,35,37,39,41
Q000166,\(f(x)=4x-1\) and \(g(x)=x^2+2x+1\) define functions on the set of real numbers. What is the value of \(f(g(0))\)?,\(3\),\(-1\),\(0\),\(1\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 4x - 1 and g(x) = x^2 + 2x + 1 define functions on the set of real numbers. What is the value of f(g(0))?,3,-1,0,1
Q000167,\(f(x)=2x^2-3x+4\) and \(g(x)=x+2\) define functions on the set of real numbers. What is the value of \(f(g(-2))\)?,\(22\),\(4\),\(30\),\(34\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x^2 - 3x + 4 and g(x) = x + 2 define functions on the set of real numbers. What is the value of f(g(-2))?,22,4,30,34
Q000168,\(f(x)=2x+1\) and \(g(x)=3-x\) define functions on the set of real numbers. What is the value of \(f(g(4))\)?,\(-5\),\(-7\),\(-9\),\(-1\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x + 1 and g(x) = 3 - x define functions on the set of real numbers. What is the value of f(g(4))?,-5,-7,-9,-1
Q000169,\(f(x)=3x^2-2\) and \(g(x)=2-x^2\) define functions on the set of real numbers. What is the value of \(f(g(1))\)?,\(-11\),\(1\),\(-15\),\(-17\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 3x^2 - 2 and g(x) = 2 - x^2 define functions on the set of real numbers. What is the value of f(g(1))?,-11,1,-15,-17
Q000170,\(f(x)=4x-2\) and \(g(x)=x^2+1\) define functions on the set of real numbers. What is the value of \(f(g(-1))\)?,\(6\),\(-4\),\(-6\),\(-8\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 4x - 2 and g(x) = x^2 + 1 define functions on the set of real numbers. What is the value of f(g(-1))?,6,-4,-6,-8
Q000171,\(f(x)=x^2-3x+2\) and \(g(x)=2x+1\) define functions on the set of real numbers. What is the value of \(f(g(0))\)?,\(2\),\(3\),\(4\),\(0\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = x^2 - 3x + 2 and g(x) = 2x + 1 define functions on the set of real numbers. What is the value of f(g(0))?,2,3,4,0
Q000172,\(f(x)=2x+3\) and \(g(x)=\frac{1}{x}\) define functions on the set of real numbers. What is the value of \(f(g(3))\)?,\(\frac{9}{2}\),\(\frac{13}{3}\),\(\frac{11}{3}\),\(\frac{5}{3}\),C,C,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x + 3 and g(x) = 1/x define functions on the set of real numbers. What is the value of f(g(3))?,9/2,13/3,11/3,5/3
Q000173,\(f(x)=2x+1\) and \(g(x)=3-x\) define functions on the set of real numbers. What is the value of \(g(f(4))\)?,\(-6\),\(-3\),\(3\),\(7\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x + 1 and g(x) = 3 - x define functions on the set of real numbers. What is the value of g(f(4))?,-6,-3,3,7
Q000174,\(f(x)=x^2+2x+1\) and \(g(x)=x-1\) define functions on the set of real numbers. What is the value of \(g(f(3))\)?,\(16\),\(15\),\(10\),\(7\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = x^2 + 2x + 1 and g(x) = x - 1 define functions on the set of real numbers. What is the value of g(f(3))?,16,15,10,7
Q000175,\(f(x)=x^2+2x+1\) and \(g(x)=3-x\) define functions on the set of real numbers. What is the value of \(f(g(1))\)?,\(-1\),\(9\),\(5\),\(7\),B,B,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = x^2 + 2x + 1 and g(x) = 3 - x define functions on the set of real numbers. What is the value of f(g(1))?,-1,9,5,7
Q000176,\(f(x)=2x-1\) and \(g(x)=x^2-2x+1\) define functions on the set of real numbers. What is the value of \(f(g(3))\)?,\(-23\),\(-11\),\(-3\),\(7\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = 2x - 1 and g(x) = x^2 - 2x + 1 define functions on the set of real numbers. What is the value of f(g(3))?,-23,-11,-3,7
Q000177,\(f(x)=x^2+4x-2\) and \(g(x)=2x+1\) define functions on the set of real numbers. What is the value of \(f(g(0))\)?,\(-2\),\(1\),\(2\),\(3\),D,D,6,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,F(x) = x^2 + 4x - 2 and g(x) = 2x + 1 define functions on the set of real numbers. What is the value of f(g(0))?,-2,1,2,3
Q000178,What is the value of \(f(g(3))\) when \(f(x)=3x^2-6\) and \(g(x)=2-x\)?,\(6\),\(3\),\(0\),\(-3\),B,B,6,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,What is the value of f(g(3)) when f(x) = (3x^2) - 6 and g(x) = 2 - x?,6,3,0,-3
Q000179,The function \(g(x)=\frac{2x+5}{x-3}\) for \(x \ge 5\). Find \(gg(5)\). Which of the following is correct?,\(-\frac{5}{2}\),\(\frac{40}{9}\),\(-1\),\(1\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x+5)/(x-3) for x>=5. Find gg(5). Which of the following is correct?,-5/2,40/9,-1,1
Q000180,The function \(g(x)=\frac{2x-5}{x-3}\) for \(x \ge 5\). Find \(gg(5)\). Which of the following is correct?,\(-\frac{5}{2}\),\(-1\),\(0\),\(\frac{5}{2}\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x-5)/(x-3) for x>=5. Find gg(5). Which of the following is correct?,-5/2,-1,0,5/2
Q000181,The function \(g(x)=\frac{3x+5}{x-2}\) for \(x \ge 5\). Find \(gg(5)\). Which of the following is correct?,\(\frac{7}{3}\),\(\frac{2}{3}\),\(\frac{75}{14}\),\(-\frac{1}{3}\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (3x+5)/(x-2) for x>=5. Find gg(5). Which of the following is correct?,7/3,2/3,75/14,-1/3
Q000182,The function \(g(x)=\frac{4x-5}{x-1}\) for \(x \ge 1\). Find \(gg(4)\). Which of the following is correct?,\(-1\),\(\frac{29}{8}\),\(\frac{1}{3}\),\(1\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (4x-5)/(x-1) for x>=1. Find gg(4). Which of the following is correct?,-1,29/8,1/3,1
Q000183,The function \(g(x)=\frac{5x-2}{x-4}\) for \(x \ge 5\). Find \(gg(5)\). Which of the following is correct?,\(\frac{3}{5}\),\(\frac{5}{3}\),\(\frac{113}{19}\),\(-\frac{2}{5}\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (5x-2)/(x-4) for x>=5. Find gg(5). Which of the following is correct?,3/5,5/3,113/19,-2/5
Q000184,The function \(g(x)=\frac{x+2}{x-5}\) for \(x \ge 5\). Find \(gg(7)\). Which of the following is correct?,\(-13\),\(3\),\(\frac{7}{3}\),\(-\frac{7}{3}\),A,A,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x+2)/(x-5) for x>=5. Find gg(7). Which of the following is correct?,-13,3,7/3,-7/3
Q000185,The function \(g(x)=\frac{2x+1}{x-4}\) for \(x \ge 5\). Find \(gg(5)\). Which of the following is correct?,\(\frac{23}{7}\),\(-\frac{1}{2}\),\(\frac{3}{2}\),\(-\frac{3}{2}\),A,A,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x+1)/(x-4) for x>=5. Find gg(5). Which of the following is correct?,23/7,-1/2,3/2,-3/2
Q000186,The function \(g(x)=\frac{3x-1}{x-6}\) for \(x \ge 6\). Find \(gg(10)\). Which of the following is correct?,\(2\),\(\frac{83}{5}\),\(4\),\(-4\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (3x-1)/(x-6) for x>=6. Find gg(10). Which of the following is correct?,2,83/5,4,-4
Q000187,The function \(g(x)=\frac{x-3}{x-5}\) for \(x \ge 5\). Find \(gg(6)\). Which of the following is correct?,\(2\),\(-2\),\(0\),\(-4\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x-3)/(x-5) for x>=5. Find gg(6). Which of the following is correct?,2,-2,0,-4
Q000188,The function \(g(x)=\frac{5x+1}{x-2}\) for \(x \ge 2\). Find \(gg(3)\). Which of the following is correct?,\(6\),\(\frac{81}{14}\),\(-\frac{1}{6}\),\(\frac{1}{6}\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (5x+1)/(x-2) for x>=2. Find gg(3). Which of the following is correct?,6,81/14,-1/6,1/6
Q000189,The function \(g(x)=\frac{2x^2+5x+3}{x^2-9}\) for \(x \ne 3\). Find \(gg(4)\). Which of the following is correct?,\(\frac{2}{3}\),\(-\frac{2}{3}\),\(\frac{4061}{1292}\),\(-\frac{4}{3}\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x^2 + 5x + 3)/(x^2 - 9) for x ≠ 3. Find gg(4). Which of the following is correct?,2/3,-2/3,4061/1292,-4/3
Q000190,The function \(g(x)=\frac{3x^2-5x+2}{x^2-4}\) for \(x \ne 2\). Find \(gg(3)\). Which of the following is correct?,\(-1\),\(1\),\(3\),\(-3\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (3x^2 - 5x + 2)/(x^2 - 4) for x ≠ 2. Find gg(3). Which of the following is correct?,-1,1,3,-3
Q000191,The function \(g(x)=\frac{x^3+4x^2-5}{x^2+4x+4}\) for \(x \ne -2\). Find \(gg(0)\). Which of the following is correct?,\(-\frac{5}{4}\),\(\frac{5}{2}\),\(-\frac{7}{2}\),\(\frac{7}{2}\),A,A,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x^3 + 4x^2 - 5)/(x^2 + 4x + 4) for x ≠ -2. Find gg(0). Which of the following is correct?,-5/4,5/2,-7/2,7/2
Q000192,The function \(g(x)=\frac{x^3-3x^2-2x+6}{x^2-4x+4}\) for \(x \ne 2\). Find \(gg(0)\). Which of the following is correct?,\(0\),\(1\),\(-\frac{3}{2}\),\(2\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x^3 - 3x^2 - 2x + 6)/(x^2 - 4x + 4) for x ≠ 2. Find gg(0). Which of the following is correct?,0,1,-3/2,2
Q000193,The function \(g(x)=\frac{2x^3+5x^2-x+3}{x^3-x^2-2x+2}\) for \(x \ne 1\). Find \(gg(2)\). Which of the following is correct?,\(-2\),\(2.4115\),\(-0.556\),\(\frac{1}{2}\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x^3 + 5x^2 - x + 3)/(x^3 - x^2 - 2x + 2) for x ≠ 1. Find gg(2). Which of the following is correct?,-2,2.4115,-0.556,1/2
Q000194,The function \(g(x)=\frac{3x^3+5x^2-4x+2}{x^3-2x^2+x-1}\) for \(x \ne 2\). Find \(gg(1)\). Which of the following is correct?,\(\frac{442}{295}\),\(\frac{445}{263}\),\(\frac{356}{657}\),\(\frac{434}{567}\),A,A,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (3x^3 + 5x^2 - 4x + 2)/(x^3 - 2x^2 + x - 1) for x ≠ 2. Find gg(1). Which of the following is correct?,442/295,445/263,356/657,434/567
Q000195,The function \(g(x)=\frac{x^3+4x^2+2x+1}{x^3-3x^2+x-2}\) for \(x \ne 1\). Find \(gg(3)\). Which of the following is correct?,\(0.7835\),\(1.5687\),\(1.1047\),\(2.3724\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x^3 + 4x^2 + 2x + 1)/(x^3 - 3x^2 + x - 2) for x ≠ 1. Find gg(3). Which of the following is correct?,0.7835,1.5687,1.1047,2.3724
Q000196,The function \(g(x)=\frac{2x^3-5x^2+4x-1}{x^3-x^2-x+1}\) for \(x \ne 1\). Find \(gg(2)\). Which of the following is correct?,\(0\),\(\frac{83}{46}\),\(-\frac{67}{47}\),\(\frac{56}{97}\),B,B,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (2x^3 - 5x^2 + 4x - 1)/(x^3 - x^2 - x + 1) for x ≠ 1. Find gg(2). Which of the following is correct?,0,83/46,-67/47,56/97
Q000197,The function \(g(x)=\frac{x^3-5x^2+6x-2}{x^3-2x^2+x-1}\) for \(x \ne 1\). Find \(gg(0)\). Which of the following is correct?,\(0\),\(1\),\(-1\),\(-2\),D,D,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x^3 - 5x^2 + 6x - 2)/(x^3 - 2x^2 + x - 1) for x ≠ 1. Find gg(0). Which of the following is correct?,0,1,-1,-2
Q000198,The function \(g(x)=\frac{x^3+5x^2+4x+2}{x^3-x^2-2x+2}\) for \(x \ne 1\). Find \(gg(2)\). Which of the following is correct?,\(0\),\(\frac{1678}{979}\),\(\frac{1457}{1077}\),\(\frac{2674}{986}\),C,C,7,6,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,The function g(x) = (x^3 + 5x^2 + 4x + 2)/(x^3 - x^2 - 2x + 2) for x ≠ 1. Find gg(2). Which of the following is correct?,0,1678/979,1457/1077,2674/986
Q000199,"If \(f(x)=x^3-2x^2+3x+1\) and \(g(x)=x^2-2x+1\), find \(f(g(2))\).",\(3\),\(9\),\(15\),\(21\),A,A,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If f(x) = x^3 - 2x^2 + 3x + 1 and g(x) = x^2 - 2x + 1, find f(g(2)).",3,9,15,21
Q000200,"If \(g(x)=2x+1\) and \(f(x)=x^2+3x-2\), find \(g(f(1))\).",\(11\),\(14\),\(15\),\(5\),D,D,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If g(x) = 2x + 1 and f(x) = x^2 + 3x - 2, find g(f(1)).",11,14,15,5
Q000201,"If \(h(x)=x^2-2x\) and \(k(x)=2x+1\), find \(k(h(4))\).",\(5\),\(8\),\(17\),\(14\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If h(x) = x^2 - 2x and k(x) = 2x + 1, find k(h(4)).",5,8,17,14
Q000202,"If \(f(x)=3x^2+4x-2\) and \(g(x)=x-1\), find \(f(g(3))\).",\(25\),\(35\),\(18\),\(55\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If f(x) = 3x^2 + 4x - 2 and g(x) = x - 1, find f(g(3)).",25,35,18,55
Q000203,"If \(f(x)=x^2+2x-1\) and \(g(x)=2x-1\), find \(f(g(-\frac{1}{2}))\).",\(-1\),\(1\),\(11\),\(21\),A,A,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If f(x) = x^2 + 2x - 1 and g(x) = 2x - 1, find f(g(-1/2)).",-1,1,11,21
Q000204,"If \(f(x)=2x-1\) and \(g(x)=x^2-3x\), find \(g(f(4))\).",\(3\),\(9\),\(15\),\(28\),D,D,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"If f(x) = 2x - 1 and g(x) = x^2 - 3x, find g(f(4)).",3,9,15,28
Q000205,"Given that \(f(x)=2x^2-5x+3\) and \(g(x)=3x+1\), find \(g(f(1))\).",\(6\),\(7\),\(8\),\(1\),D,D,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 2x^2 - 5x + 3 and g(x) = 3x + 1, find g(f(1)).",6,7,8,1
Q000206,"Given that \(f(x)=x^2-3x+2\) and \(g(x)=2x+1\), find \(f(g(4))\).",\(56\),\(57\),\(61\),\(65\),A,A,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = x^2 - 3x + 2 and g(x) = 2x + 1, find f(g(4)).",56,57,61,65
Q000207,"Given that \(f(x)=x^2+2x-1\) and \(g(x)=2x-1\), find \(g(f(-2))\).",\(-7\),\(-5\),\(-3\),\(-1\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = x^2 + 2x - 1 and g(x) = 2x - 1, find g(f(-2)).",-7,-5,-3,-1
Q000208,"Given that \(f(x)=x^3-3x^2+x-2\) and \(g(x)=2x+3\), find \(g(f(1))\).",\(7\),\(13\),\(19\),\(-3\),D,D,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = x^3 - 3x^2 + x - 2 and g(x) = 2x + 3, find g(f(1)).",7,13,19,-3
Q000209,"Given that \(f(x)=2x^2+x-1\) and \(g(x)=x-3\), find \(g(f(-2))\).",\(2\),\(-17\),\(-11\),\(-5\),A,A,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 2x^2 + x - 1 and g(x) = x - 3, find g(f(-2)).",2,-17,-11,-5
Q000210,"Given that \(f(x)=2x^3+4x^2+2x+1\) and \(g(x)=3x-1\), find \(g(f(-1))\).",\(2\),\(-9\),\(-8\),\(-7\),A,A,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 2x^3 + 4x^2 + 2x + 1 and g(x) = 3x - 1, find g(f(-1)).",2,-9,-8,-7
Q000211,"Given that \(f(x)=x^3+2x^2+3x+1\) and \(g(x)=x-2\), find \(f(g(3))\).",\(0\),\(2\),\(7\),\(6\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = x^3 + 2x^2 + 3x + 1 and g(x) = x - 2, find f(g(3)).",0,2,7,6
Q000212,"Given that \(f(x)=3x^3-5x^2+x+2\) and \(g(x)=2x-1\), find \(f(g(2))\).",\(16\),\(41\),\(20\),\(22\),B,B,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 3x^3 - 5x^2 + x + 2 and g(x) = 2x - 1, find f(g(2)).",16,41,20,22
Q000213,"Given that \(f(x)=3x^3-4x^2+x+2\) and \(g(x)=x^2+1\), find \(g(f(-1))\).",\(24\),\(26\),\(37\),\(30\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 3x^3 - 4x^2 + x + 2 and g(x) = x^2 + 1, find g(f(-1)).",24,26,37,30
Q000214,"Given that \(f(x)=2x^3-3x^2+x+4\) and \(g(x)=2x-1\), find \(g(f(2))\).",\(21\),\(23\),\(34\),\(27\),C,C,5,5,yes,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,,,,,Algebra and Functions,Algebra and Functions - Composite Functions,,,,,"Given that f(x) = 2x^3 - 3x^2 + x + 4 and g(x) = 2x - 1, find g(f(2)).",21,23,34,27
